"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02779V03348","County","C02199V02655","Sex","UNIT","VALUE"
"FY001C01","Population at Each Census","1841","1841","-","State","-","Both sexes","Number","6528799"
"FY001C01","Population at Each Census","1841","1841","-","State","1","Male","Number","3222485"
"FY001C01","Population at Each Census","1841","1841","-","State","2","Female","Number","3306314"
"FY001C01","Population at Each Census","1841","1841","01","Carlow","-","Both sexes","Number","86228"
"FY001C01","Population at Each Census","1841","1841","01","Carlow","1","Male","Number","42428"
"FY001C01","Population at Each Census","1841","1841","01","Carlow","2","Female","Number","43800"
"FY001C01","Population at Each Census","1841","1841","02","Dublin","-","Both sexes","Number","372773"
"FY001C01","Population at Each Census","1841","1841","02","Dublin","1","Male","Number","170930"
"FY001C01","Population at Each Census","1841","1841","02","Dublin","2","Female","Number","201843"
"FY001C01","Population at Each Census","1841","1841","03","Kildare","-","Both sexes","Number","114488"
"FY001C01","Population at Each Census","1841","1841","03","Kildare","1","Male","Number","58030"
"FY001C01","Population at Each Census","1841","1841","03","Kildare","2","Female","Number","56458"
"FY001C01","Population at Each Census","1841","1841","04","Kilkenny","-","Both sexes","Number","202420"
"FY001C01","Population at Each Census","1841","1841","04","Kilkenny","1","Male","Number","99114"
"FY001C01","Population at Each Census","1841","1841","04","Kilkenny","2","Female","Number","103306"
"FY001C01","Population at Each Census","1841","1841","05","Laois","-","Both sexes","Number","153930"
"FY001C01","Population at Each Census","1841","1841","05","Laois","1","Male","Number","76403"
"FY001C01","Population at Each Census","1841","1841","05","Laois","2","Female","Number","77527"
"FY001C01","Population at Each Census","1841","1841","06","Longford","-","Both sexes","Number","115491"
"FY001C01","Population at Each Census","1841","1841","06","Longford","1","Male","Number","57610"
"FY001C01","Population at Each Census","1841","1841","06","Longford","2","Female","Number","57881"
"FY001C01","Population at Each Census","1841","1841","07","Louth","-","Both sexes","Number","128240"
"FY001C01","Population at Each Census","1841","1841","07","Louth","1","Male","Number","62297"
"FY001C01","Population at Each Census","1841","1841","07","Louth","2","Female","Number","65943"
"FY001C01","Population at Each Census","1841","1841","08","Meath","-","Both sexes","Number","183828"
"FY001C01","Population at Each Census","1841","1841","08","Meath","1","Male","Number","92494"
"FY001C01","Population at Each Census","1841","1841","08","Meath","2","Female","Number","91334"
"FY001C01","Population at Each Census","1841","1841","09","Offaly","-","Both sexes","Number","146857"
"FY001C01","Population at Each Census","1841","1841","09","Offaly","1","Male","Number","72651"
"FY001C01","Population at Each Census","1841","1841","09","Offaly","2","Female","Number","74206"
"FY001C01","Population at Each Census","1841","1841","10","Westmeath","-","Both sexes","Number","141300"
"FY001C01","Population at Each Census","1841","1841","10","Westmeath","1","Male","Number","70383"
"FY001C01","Population at Each Census","1841","1841","10","Westmeath","2","Female","Number","70917"
"FY001C01","Population at Each Census","1841","1841","11","Wexford","-","Both sexes","Number","202033"
"FY001C01","Population at Each Census","1841","1841","11","Wexford","1","Male","Number","97918"
"FY001C01","Population at Each Census","1841","1841","11","Wexford","2","Female","Number","104115"
"FY001C01","Population at Each Census","1841","1841","12","Wicklow","-","Both sexes","Number","126143"
"FY001C01","Population at Each Census","1841","1841","12","Wicklow","1","Male","Number","63489"
"FY001C01","Population at Each Census","1841","1841","12","Wicklow","2","Female","Number","62654"
"FY001C01","Population at Each Census","1841","1841","13","Clare","-","Both sexes","Number","286394"
"FY001C01","Population at Each Census","1841","1841","13","Clare","1","Male","Number","144109"
"FY001C01","Population at Each Census","1841","1841","13","Clare","2","Female","Number","142285"
"FY001C01","Population at Each Census","1841","1841","14","Cork","-","Both sexes","Number","854118"
"FY001C01","Population at Each Census","1841","1841","14","Cork","1","Male","Number","420551"
"FY001C01","Population at Each Census","1841","1841","14","Cork","2","Female","Number","433567"
"FY001C01","Population at Each Census","1841","1841","15","Kerry","-","Both sexes","Number","293880"
"FY001C01","Population at Each Census","1841","1841","15","Kerry","1","Male","Number","147307"
"FY001C01","Population at Each Census","1841","1841","15","Kerry","2","Female","Number","146573"
"FY001C01","Population at Each Census","1841","1841","16","Limerick","-","Both sexes","Number","330029"
"FY001C01","Population at Each Census","1841","1841","16","Limerick","1","Male","Number","161997"
"FY001C01","Population at Each Census","1841","1841","16","Limerick","2","Female","Number","168032"
"FY001C01","Population at Each Census","1841","1841","17","Tipperary","-","Both sexes","Number","435553"
"FY001C01","Population at Each Census","1841","1841","17","Tipperary","1","Male","Number","216650"
"FY001C01","Population at Each Census","1841","1841","17","Tipperary","2","Female","Number","218903"
"FY001C01","Population at Each Census","1841","1841","18","Waterford","-","Both sexes","Number","196187"
"FY001C01","Population at Each Census","1841","1841","18","Waterford","1","Male","Number","95576"
"FY001C01","Population at Each Census","1841","1841","18","Waterford","2","Female","Number","100611"
"FY001C01","Population at Each Census","1841","1841","19","Galway","-","Both sexes","Number","440198"
"FY001C01","Population at Each Census","1841","1841","19","Galway","1","Male","Number","219564"
"FY001C01","Population at Each Census","1841","1841","19","Galway","2","Female","Number","220634"
"FY001C01","Population at Each Census","1841","1841","20","Leitrim","-","Both sexes","Number","155297"
"FY001C01","Population at Each Census","1841","1841","20","Leitrim","1","Male","Number","77501"
"FY001C01","Population at Each Census","1841","1841","20","Leitrim","2","Female","Number","77796"
"FY001C01","Population at Each Census","1841","1841","21","Mayo","-","Both sexes","Number","388887"
"FY001C01","Population at Each Census","1841","1841","21","Mayo","1","Male","Number","194198"
"FY001C01","Population at Each Census","1841","1841","21","Mayo","2","Female","Number","194689"
"FY001C01","Population at Each Census","1841","1841","22","Roscommon","-","Both sexes","Number","253591"
"FY001C01","Population at Each Census","1841","1841","22","Roscommon","1","Male","Number","127016"
"FY001C01","Population at Each Census","1841","1841","22","Roscommon","2","Female","Number","126575"
"FY001C01","Population at Each Census","1841","1841","23","Sligo","-","Both sexes","Number","180886"
"FY001C01","Population at Each Census","1841","1841","23","Sligo","1","Male","Number","89563"
"FY001C01","Population at Each Census","1841","1841","23","Sligo","2","Female","Number","91323"
"FY001C01","Population at Each Census","1841","1841","24","Cavan","-","Both sexes","Number","243158"
